name,count,animal,year,location
CHARLIE,155,0,"2017",Toronto
MOLLY,155,0,"2017",Toronto
MAX,144,0,"2017",Toronto
BELLA,132,0,"2017",Toronto
SMOKEY,130,0,"2017",Toronto
TIGER,127,0,"2017",Toronto
LUCY,125,0,"2017",Toronto
SHADOW,108,0,"2017",Toronto
LUCKY,104,0,"2017",Toronto
TIGGER,102,0,"2017",Toronto
COCO,97,0,"2017",Toronto
BUDDY,96,0,"2017",Toronto
NO NAME,95,0,"2017",Toronto
KITTY,94,0,"2017",Toronto
LILY,94,0,"2017",Toronto
LUNA,92,0,"2017",Toronto
GINGER,91,0,"2017",Toronto
CLEO,89,0,"2017",Toronto
MISSY,89,0,"2017",Toronto
PRINCESS,89,0,"2017",Toronto
MISTY,87,0,"2017",Toronto
SIMBA,86,0,"2017",Toronto
CHLOE,85,0,"2017",Toronto
FELIX,83,0,"2017",Toronto
OSCAR,82,0,"2017",Toronto
TOBY,79,0,"2017",Toronto
DAISY,77,0,"2017",Toronto
PEPPER,77,0,"2017",Toronto
JACK,75,0,"2017",Toronto
LEO,75,0,"2017",Toronto
MILO,75,0,"2017",Toronto
OLIVER,75,0,"2017",Toronto
OREO,75,0,"2017",Toronto
SAM,75,0,"2017",Toronto
MAGGIE,74,0,"2017",Toronto
PUMPKIN,72,0,"2017",Toronto
ANGEL,70,0,"2017",Toronto
PATCHES,69,0,"2017",Toronto
ROSIE,69,0,"2017",Toronto
FLUFFY,68,0,"2017",Toronto
SAMMY,63,0,"2017",Toronto
BOOTS,62,0,"2017",Toronto
GEORGE,62,0,"2017",Toronto
BABY,61,0,"2017",Toronto
SOPHIE,61,0,"2017",Toronto
SIMON,59,0,"2017",Toronto
LOLA,58,0,"2017",Toronto
MIDNIGHT,57,0,"2017",Toronto
COOKIE,55,0,"2017",Toronto
MIMI,55,0,"2017",Toronto
TOMMY,53,0,"2017",Toronto
GRACIE,52,0,"2017",Toronto
MIA,50,0,"2017",Toronto
MITTENS,47,0,"2017",Toronto
STELLA,45,0,"2017",Toronto
JASPER,44,0,"2017",Toronto
ROCKY,44,0,"2017",Toronto
SADIE,44,0,"2017",Toronto
BLACKIE,43,0,"2017",Toronto
HENRY,42,0,"2017",Toronto
SASHA,42,0,"2017",Toronto
CALLIE,41,0,"2017",Toronto
EMMA,41,0,"2017",Toronto
PENNY,41,0,"2017",Toronto
ZOE,41,0,"2017",Toronto
LILLY,39,0,"2017",Toronto
MINNIE,39,0,"2017",Toronto
WILLOW,39,0,"2017",Toronto
FRANKIE,38,0,"2017",Toronto
HOLLY,38,0,"2017",Toronto
RUSTY,38,0,"2017",Toronto
BUSTER,37,0,"2017",Toronto
CHESTER,37,0,"2017",Toronto
MICKEY,37,0,"2017",Toronto
MUFFIN,37,0,"2017",Toronto
ABBY,36,0,"2017",Toronto
ANNIE,36,0,"2017",Toronto
BEAR,36,0,"2017",Toronto
JAKE,36,0,"2017",Toronto
DUSTY,35,0,"2017",Toronto
JOEY,35,0,"2017",Toronto
BANDIT,34,0,"2017",Toronto
BLUE,34,0,"2017",Toronto
BOO,34,0,"2017",Toronto
GIZMO,34,0,"2017",Toronto
POPPY,34,0,"2017",Toronto
PRECIOUS,34,0,"2017",Toronto
ROXY,34,0,"2017",Toronto
TOM,34,0,"2017",Toronto
CALI,33,0,"2017",Toronto
PRINCE,33,0,"2017",Toronto
BAILEY,32,0,"2017",Toronto
MONTY,32,0,"2017",Toronto
PEANUT,32,0,"2017",Toronto
SMUDGE,32,0,"2017",Toronto
THOMAS,32,0,"2017",Toronto
HARRY,31,0,"2017",Toronto
HONEY,31,0,"2017",Toronto
ALICE,30,0,"2017",Toronto
DEXTER,30,0,"2017",Toronto
JASMINE,30,0,"2017",Toronto
MAYA,30,0,"2017",Toronto
PEACHES,30,0,"2017",Toronto
SUNNY,30,0,"2017",Toronto
SYLVESTER,30,0,"2017",Toronto
AMBER,29,0,"2017",Toronto
LULU,29,0,"2017",Toronto
MISHA,29,0,"2017",Toronto
SALLY,29,0,"2017",Toronto
SAMANTHA,29,0,"2017",Toronto
CHARLOTTE,28,0,"2017",Toronto
HARLEY,28,0,"2017",Toronto
KIKI,28,0,"2017",Toronto
LOKI,28,0,"2017",Toronto
NALA,28,0,"2017",Toronto
PHOEBE,28,0,"2017",Toronto
RILEY,28,0,"2017",Toronto
MARLEY,27,0,"2017",Toronto
PENELOPE,27,0,"2017",Toronto
ROMEO,27,0,"2017",Toronto
TEDDY,27,0,"2017",Toronto
WINSTON,27,0,"2017",Toronto
BOB,26,0,"2017",Toronto
MOCHA,26,0,"2017",Toronto
SASSY,26,0,"2017",Toronto
KATIE,25,0,"2017",Toronto
OLLIE,25,0,"2017",Toronto
RUBY,25,0,"2017",Toronto
TUCKER,25,0,"2017",Toronto
BUTTONS,24,0,"2017",Toronto
ELLA,24,0,"2017",Toronto
GIGI,24,0,"2017",Toronto
MILLIE,24,0,"2017",Toronto
PANDA,24,0,"2017",Toronto
SPIKE,24,0,"2017",Toronto
WHISKEY,24,0,"2017",Toronto
ZOEY,24,0,"2017",Toronto
BAXTER,23,0,"2017",Toronto
BELLE,23,0,"2017",Toronto
SHEBA,23,0,"2017",Toronto
TIMMY,23,0,"2017",Toronto
WHISKERS,23,0,"2017",Toronto
ASHLEY,22,0,"2017",Toronto
JERRY,22,0,"2017",Toronto
RUDY,22,0,"2017",Toronto
TABITHA,22,0,"2017",Toronto
BILLY,21,0,"2017",Toronto
BONNIE,21,0,"2017",Toronto
CHICO,21,0,"2017",Toronto
EBONY,21,0,"2017",Toronto
EMILY,21,0,"2017",Toronto
MERLIN,21,0,"2017",Toronto
MINOU,21,0,"2017",Toronto
OLIVE,21,0,"2017",Toronto
PIPER,21,0,"2017",Toronto
SNOWBALL,21,0,"2017",Toronto
SPARKY,21,0,"2017",Toronto
SUGAR,21,0,"2017",Toronto
SUSHI,21,0,"2017",Toronto
WINNIE,21,0,"2017",Toronto
CRICKET,20,0,"2017",Toronto
GRACE,20,0,"2017",Toronto
HUNTER,20,0,"2017",Toronto
MAC,20,0,"2017",Toronto
NAME?,20,0,"2017",Toronto
PEBBLES,20,0,"2017",Toronto
TAZ,20,0,"2017",Toronto
XENA,20,0,"2017",Toronto
CASEY,19,0,"2017",Toronto
CASPER,19,0,"2017",Toronto
COOPER,19,0,"2017",Toronto
ELLIE,19,0,"2017",Toronto
LUKE,19,0,"2017",Toronto
MIKEY,19,0,"2017",Toronto
MONKEY,19,0,"2017",Toronto
MOUSE,19,0,"2017",Toronto
OLIVIA,19,0,"2017",Toronto
PERCY,19,0,"2017",Toronto
RUPERT,19,0,"2017",Toronto
SABRINA,19,0,"2017",Toronto
SOCKS,19,0,"2017",Toronto
TABBY,19,0,"2017",Toronto
THEO,19,0,"2017",Toronto
TRIXIE,19,0,"2017",Toronto
TROUBLE,19,0,"2017",Toronto
ANGUS,18,0,"2017",Toronto
ASH,18,0,"2017",Toronto
BOBBY,18,0,"2017",Toronto
DOLLY,18,0,"2017",Toronto
FINN,18,0,"2017",Toronto
GARFIELD,18,0,"2017",Toronto
GUS,18,0,"2017",Toronto
JUNIOR,18,0,"2017",Toronto
KIWI,18,0,"2017",Toronto
LOUIE,18,0,"2017",Toronto
MANGO,18,0,"2017",Toronto
MURPHY,18,0,"2017",Toronto
POLLY,18,0,"2017",Toronto
SALEM,18,0,"2017",Toronto
SANDY,18,0,"2017",Toronto
SCOUT,18,0,"2017",Toronto
SEBASTIAN,18,0,"2017",Toronto
SOPHIA,18,0,"2017",Toronto
SYDNEY,18,0,"2017",Toronto
ZIGGY,18,0,"2017",Toronto
AMY,17,0,"2017",Toronto
ARCHIE,17,0,"2017",Toronto
BENNY,17,0,"2017",Toronto
BETTY,17,0,"2017",Toronto
DARCY,17,0,"2017",Toronto
ELSA,17,0,"2017",Toronto
ELVIS,17,0,"2017",Toronto
JACKSON,17,0,"2017",Toronto
LARRY,17,0,"2017",Toronto
NINA,17,0,"2017",Toronto
RASCAL,17,0,"2017",Toronto
STANLEY,17,0,"2017",Toronto
TAMMY,17,0,"2017",Toronto
ABIGAIL,16,0,"2017",Toronto
ALEX,16,0,"2017",Toronto
BUTTERCUP,16,0,"2017",Toronto
DORA,16,0,"2017",Toronto
FRED,16,0,"2017",Toronto
GEORGIE,16,0,"2017",Toronto
ISIS,16,0,"2017",Toronto
IZZY,16,0,"2017",Toronto
LICORICE,16,0,"2017",Toronto
SKITTLES,16,0,"2017",Toronto
SUKI,16,0,"2017",Toronto
TINKERBELL,16,0,"2017",Toronto
TINY,16,0,"2017",Toronto
ALFIE,15,0,"2017",Toronto
BARNEY,15,0,"2017",Toronto
BEAN,15,0,"2017",Toronto
CHANCE,15,0,"2017",Toronto
CINNAMON,15,0,"2017",Toronto
